Date : 2024-01-06 20:50:49
Directory : c:\Development\Projects\builder\frontend\svelte-app\__tests__
Total : 96 files,  -16243 codes, -146 comments, -604 blanks, all -16993 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\PreMadeProgramsOptions.svelte                    | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\SavedTemplatesOptions.svelte                     | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\SimpleProgramOptions.svelte                      | Svelte             |        -90 |         -8 |         -7 |       -105 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\ProMainSimple.svelte                 | Svelte             |        -14 |          0 |         -4 |        -18 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\ProOptionsSimple.svelte              | Svelte             |        -18 |          0 |         -4 |        -22 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\main\SimpleClientMain.svelte         | Svelte             |       -109 |         -6 |        -12 |       -127 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\main\components\ProgramNotes.svelte  | Svelte             |        -65 |          0 |        -10 |        -75 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleClientOptions.svelte   | Svelte             |       -141 |         -3 |        -14 |       -158 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleExerciseOptions.svelte | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleFinalOptions.svelte    | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleTemplateOptions.svelte | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\solo\SoloMain.svelte                                     | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\solo\SoloOptions.svelte                                  | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\CardLayout.svelte                                      | Svelte             |        -32 |         -4 |         -6 |        -42 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\DashboardOptions.svelte                                | Svelte             |        -17 |          0 |         -2 |        -19 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\Sidebar.svelte                                         | Svelte             |        -65 |         -3 |         -7 |        -75 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\UserStats.svelte                                       | Svelte             |        -52 |         -6 |         -4 |        -62 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\Workout.svelte                                         | Svelte             |        -13 |          0 |         -3 |        -16 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\Goals.svelte                                     | Svelte             |       -122 |         -3 |        -18 |       -143 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\ManageGoal.svelte                                | Svelte             |        -73 |          0 |         -8 |        -81 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\NewGoal.svelte                                   | Svelte             |       -100 |          0 |        -13 |       -113 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\types.ts                                         | TypeScript         |        -32 |         -2 |         -5 |        -39 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\utils\dashboardStore.ts                                | TypeScript         |         -1 |         -2 |         -2 |         -5 |
| c:\Development\Projects\builder\frontend\svelte-app\src\global.d.ts                                                                 | TypeScript         |          0 |         -1 |          0 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\layouts\Layout.svelte                                                       | Svelte             |       -240 |         -3 |        -27 |       -270 |
| c:\Development\Projects\builder\frontend\svelte-app\src\layouts\SubOptions.svelte                                                   | Svelte             |        -32 |          0 |         -8 |        -40 |
| c:\Development\Projects\builder\frontend\svelte-app\src\main.ts                                                                     | TypeScript         |         -9 |          0 |         -3 |        -12 |
| c:\Development\Projects\builder\frontend\svelte-app\src\pages\Builder.svelte                                                        | Svelte             |        -79 |         -1 |        -13 |        -93 |
| c:\Development\Projects\builder\frontend\svelte-app\src\pages\Dashboard.svelte                                                      | Svelte             |        -24 |          0 |         -4 |        -28 |
| c:\Development\Projects\builder\frontend\svelte-app\src\pages\ProBuilder.svelte                                                     | Svelte             |        -67 |         -1 |        -13 |        -81 |
