"filename", "language", "JSON", "JavaScript", "Docker", "TypeScript", "JSON with Comments", "CSS", "HTML", "Svelte", "Markdown", "XML", "comment", "blank", "total"
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\programOptionsStore.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\registrationStore.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\themeStore.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 3, 12
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\userStore.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Development\Projects\builder\frontend\svelte-app\src\styles\main.css", "CSS", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 11, 64
"c:\Development\Projects\builder\frontend\svelte-app\src\tailwind.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Development\Projects\builder\frontend\svelte-app\src\types\index.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 9, 56
"c:\Development\Projects\builder\frontend\svelte-app\src\utilities\api.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 3, 17
"c:\Development\Projects\builder\frontend\svelte-app\src\utilities\clientAPI.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Development\Projects\builder\frontend\svelte-app\src\utilities\localStorageUtilities.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Development\Projects\builder\frontend\svelte-app\src\utilities\modalUtilities.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 4, 25
"c:\Development\Projects\builder\frontend\svelte-app\src\utilities\programAPI.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Development\Projects\builder\frontend\svelte-app\src\utilities\userAPI.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 8, 85
"c:\Development\Projects\builder\frontend\svelte-app\svelte.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Development\Projects\builder\frontend\svelte-app\svelte.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Development\Projects\builder\frontend\svelte-app\tailwind.config.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 6, 8, 65
"c:\Development\Projects\builder\frontend\svelte-app\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"Total", "-", 11926, 335, 6, 768, 12, 258, 610, 2463, 66, 55, 150, 647, 17296
